"DocumentNo","SampleID","SampleTypeID","ParameterID","Method","Limits_min","Limits_max","Results","lastuserid","lastdatetime"
"B/No813","S.7","S.7","8","","","0.05","0.01","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","9","","","","-","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","10","","","","-","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","11","","68","70","69","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","12","","25","35","28","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","13","","Nil","","-","Elias","7/8/2021 6:31:36 PM"
"B/No813","S.7","S.7","14","","Positive","","Positive","Elias","7/8/2021 6:31:36 PM"
"B/No824","S.7","S.7","8","","","0.05","0.01","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","9","","","","-","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","10","","","","-","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","11","","68","70","69","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","12","","25","35","28","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","13","","Nil","","-","Elias","7/13/2021 3:56:30 PM"
"B/No824","S.7","S.7","14","","Positive","","Positive","Elias","7/13/2021 3:56:30 PM"
"B/No823","S.7","S.7","8","","","0.05","0.01","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","9","","","","-","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","10","","","","-","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","11","","68","70","69","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","12","","25","35","27","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","13","","Nil","","-","Elias","7/9/2021 5:14:27 PM"
"B/No823","S.7","S.7","14","","Positive","","Positive","Elias","7/9/2021 5:14:27 PM"
"B/No828","S.7","S.7","8","","","0.05","0.01","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","9","","","","-","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","10","","","","-","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","11","","68","70","68","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","12","","25","35","28","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","13","","Nil","","-","Elias","7/12/2021 11:53:24 AM"
"B/No828","S.7","S.7","14","","Positive","","Positive","Elias","7/12/2021 11:53:24 AM"
"B/No830","S.6","S.6","2","","","0.05","0.03","Elias","7/13/2021 12:56:12 PM"
"B/No830","S.6","S.6","3","","","","-","Elias","7/13/2021 12:56:12 PM"
"B/No830","S.6","S.6","4","","57","60","60","Elias","7/13/2021 12:56:12 PM"
"B/No830","S.6","S.6","5","","6","9","7","Elias","7/13/2021 12:56:12 PM"
"B/No830","S.6","S.6","6","","Nil","","Nil","Elias","7/13/2021 12:56:12 PM"
"B/No830","S.6","S.6","7","","Positive","","Positive","Elias","7/13/2021 12:56:12 PM"
"B/No831","S.6","S.6","2","","","0.05","0.03","Elias","7/13/2021 1:03:49 PM"
"B/No831","S.6","S.6","3","","","","-","Elias","7/13/2021 1:03:49 PM"
"B/No831","S.6","S.6","4","","57","60","58","Elias","7/13/2021 1:03:49 PM"
"B/No831","S.6","S.6","5","","6","9","7","Elias","7/13/2021 1:03:49 PM"
"B/No831","S.6","S.6","6","","Nil","","Nil","Elias","7/13/2021 1:03:49 PM"
"B/No831","S.6","S.6","7","","Positive","","Positive","Elias","7/13/2021 1:03:49 PM"
"B/No832","S.7","S.7","8","","","0.05","0.01","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","9","","","","-","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","10","","","","-","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","11","","68","70","70","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","12","","25","35","29","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","13","","Nil","","-","Elias","7/13/2021 1:11:22 PM"
"B/No832","S.7","S.7","14","","Positive","","Positive","Elias","7/13/2021 1:11:22 PM"
"B/No833","S.112","S.112","86","ASTM D6933","8","","Too Thick","Elias","7/13/2021 3:43:59 PM"
"B/No833","S.112","S.112","87","ASTM D6934","49","","51.8","Elias","7/13/2021 3:43:59 PM"
"B/No833","S.112","S.112","88","ASTM D244","Neutral ","","Neutral","Elias","7/13/2021 3:43:59 PM"
"B/No833","S.112","S.112","89","ASTM D6999","","","-","Elias","7/13/2021 3:43:59 PM"
"B/No833","S.112","S.112","90","ASTM D70","0.9","1.1","1.05","Elias","7/13/2021 3:43:59 PM"
"B/No836","S.112","S.112","86","ASTM D6933","8","","Too Thick","Elias","7/13/2021 3:46:18 PM"
"B/No836","S.112","S.112","87","ASTM D6934","49","","51.8","Elias","7/13/2021 3:46:18 PM"
"B/No836","S.112","S.112","88","ASTM D244","Neutral ","","Neutral","Elias","7/13/2021 3:46:18 PM"
"B/No836","S.112","S.112","89","ASTM D6999","","","-","Elias","7/13/2021 3:46:18 PM"
"B/No836","S.112","S.112","90","ASTM D70","0.9","1.1","1.05","Elias","7/13/2021 3:46:18 PM"
"B/No817","S.6","S.6","2","","","0.05","0.03","Elias","7/13/2021 3:57:02 PM"
"B/No817","S.6","S.6","3","","","","-","Elias","7/13/2021 3:57:02 PM"
"B/No817","S.6","S.6","4","","57","60","60","Elias","7/13/2021 3:57:02 PM"
"B/No817","S.6","S.6","5","","6","9","7","Elias","7/13/2021 3:57:02 PM"
"B/No817","S.6","S.6","6","","Nil","","Nil","Elias","7/13/2021 3:57:02 PM"
"B/No817","S.6","S.6","7","","Positive","","Positive","Elias","7/13/2021 3:57:02 PM"
"B/No837","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","7/14/2021 11:01:42 AM"
"B/No837","S.103","S.103","82","ASTM D6934","56","","58","Elias","7/14/2021 11:01:42 AM"
"B/No837","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","7/14/2021 11:01:42 AM"
"B/No837","S.103","S.103","84","ASTM D6999","","","-","Elias","7/14/2021 11:01:42 AM"
"B/No837","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","7/14/2021 11:01:42 AM"
"B/No841","S.95","S.95","91","ASTM D1298","0.9","1.1","1.10","Elias","7/16/2021 11:24:00 AM"
"B/No841","S.95","S.95","92","ASTM D2172","57","","-","Elias","7/16/2021 11:24:00 AM"
"B/No841","S.95","S.95","93","ASTM D92","38","","42","Elias","7/16/2021 11:24:00 AM"
"B/No842","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","7/19/2021 12:50:51 PM"
"B/No842","S.103","S.103","82","ASTM D6934","56","","58","Elias","7/19/2021 12:50:51 PM"
"B/No842","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","7/19/2021 12:50:51 PM"
"B/No842","S.103","S.103","84","ASTM D6999","","","-","Elias","7/19/2021 12:50:51 PM"
"B/No842","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","7/19/2021 12:50:51 PM"
"B/No843","S.35","S.35","95","KS 02-1239","30","60","56","Elias","7/19/2021 4:17:25 PM"
"B/No843","S.35","S.35","96","ASTM 3741","Black","Black","Black","Elias","7/19/2021 4:17:25 PM"
"B/No843","S.35","S.35","97","ASTM D1298","0.9","1.1","1.07","Elias","7/19/2021 4:17:25 PM"
"B/No843","S.35","S.35","98","ASTM D2172","55","","64","Elias","7/19/2021 4:17:25 PM"
"B/No843","S.35","S.35","99","ASTM D92","38","","52","Elias","7/19/2021 4:17:25 PM"
"B/No844","S.9","S.9","15","","30","60","44","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","16","","38","","42","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","17","","","","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","18","","0","25","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","19","","40","70","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","20","","40","70","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","21","","75","93","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","22","","50","","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","23","","120","300","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","24","","","0.2","-","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","25","","","",">100","Elias","7/21/2021 7:31:28 AM"
"B/No844","S.9","S.9","26","","99","","99.6","Elias","7/21/2021 7:31:28 AM"
"B/No845","S.95","S.95","91","ASTM D1298","0.9","1.1","1.10","Elias","7/21/2021 3:26:46 PM"
"B/No845","S.95","S.95","92","ASTM D2172","57","","-","Elias","7/21/2021 3:26:46 PM"
"B/No845","S.95","S.95","93","ASTM D92","38","","42","Elias","7/21/2021 3:26:46 PM"
"B/No846","S.35","S.35","95","KS 02-1239","30","60","56","Elias","7/21/2021 3:30:08 PM"
"B/No846","S.35","S.35","96","ASTM 3741","Black","Black","Black","Elias","7/21/2021 3:30:08 PM"
"B/No846","S.35","S.35","97","ASTM D1298","0.9","1.1","1.07","Elias","7/21/2021 3:30:08 PM"
"B/No846","S.35","S.35","98","ASTM D2172","55","","64","Elias","7/21/2021 3:30:08 PM"
"B/No846","S.35","S.35","99","ASTM D92","38","","52","Elias","7/21/2021 3:30:08 PM"
"B/No847","S.6","S.6","2","","","0.05","0.03","Elias","7/21/2021 3:38:30 PM"
"B/No847","S.6","S.6","3","","","","-","Elias","7/21/2021 3:38:30 PM"
"B/No847","S.6","S.6","4","","57","60","60.9","Elias","7/21/2021 3:38:30 PM"
"B/No847","S.6","S.6","5","","6","9","7","Elias","7/21/2021 3:38:30 PM"
"B/No847","S.6","S.6","6","","Nil","","Nil","Elias","7/21/2021 3:38:30 PM"
"B/No847","S.6","S.6","7","","Positive","","Positive","Elias","7/21/2021 3:38:30 PM"
"B/No848","S.7","S.7","8","","","0.05","0.01","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","9","","","","-","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","10","","","","-","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","11","","68","70","69","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","12","","25","35","27","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","13","","Nil","","-","Elias","7/21/2021 3:46:48 PM"
"B/No848","S.7","S.7","14","","Positive","","Positive","Elias","7/21/2021 3:46:48 PM"
"B/No849","S.7","S.7","8","","","0.05","0.01","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","9","","","","-","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","10","","","","-","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","11","","68","70","69.","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","12","","25","35","28","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","13","","Nil","","-","Elias","7/22/2021 9:24:09 AM"
"B/No849","S.7","S.7","14","","Positive","","Positive","Elias","7/22/2021 9:24:09 AM"
"B/No850","S.35","S.35","95","KS 02-1239","30","60","56","Elias","7/22/2021 9:29:44 AM"
"B/No850","S.35","S.35","96","ASTM 3741","Black","Black","Black","Elias","7/22/2021 9:29:44 AM"
"B/No850","S.35","S.35","97","ASTM D1298","0.9","1.1","1.06","Elias","7/22/2021 9:29:44 AM"
"B/No850","S.35","S.35","98","ASTM D2172","55","","64","Elias","7/22/2021 9:29:44 AM"
"B/No850","S.35","S.35","99","ASTM D92","38","","52","Elias","7/22/2021 9:29:44 AM"
"B/No851","S.6","S.6","2","","","0.05","0.03","Elias","7/22/2021 9:47:16 AM"
"B/No851","S.6","S.6","3","","","","-","Elias","7/22/2021 9:47:16 AM"
"B/No851","S.6","S.6","4","","57","60","64","Elias","7/22/2021 9:47:16 AM"
"B/No851","S.6","S.6","5","","6","9","8","Elias","7/22/2021 9:47:16 AM"
"B/No851","S.6","S.6","6","","Nil","","Nil","Elias","7/22/2021 9:47:16 AM"
"B/No851","S.6","S.6","7","","Positive","","Positive","Elias","7/22/2021 9:47:16 AM"
"B/No852","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","7/23/2021 2:49:09 PM"
"B/No852","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","7/23/2021 2:49:09 PM"
"B/No852","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","7/23/2021 2:49:09 PM"
"B/No852","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","7/23/2021 2:49:09 PM"
"B/No852","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","7/23/2021 2:49:09 PM"
"B/No854","S.6","S.6","2","","","0.05","0.03","Elias","7/26/2021 2:32:12 PM"
"B/No854","S.6","S.6","3","","","","-","Elias","7/26/2021 2:32:12 PM"
"B/No854","S.6","S.6","4","","57","60","60","Elias","7/26/2021 2:32:12 PM"
"B/No854","S.6","S.6","5","","6","9","7","Elias","7/26/2021 2:32:12 PM"
"B/No854","S.6","S.6","6","","Nil","","Nil","Elias","7/26/2021 2:32:12 PM"
"B/No854","S.6","S.6","7","","Positive","","Positive","Elias","7/26/2021 2:32:12 PM"
"B/No856","S.7","S.7","8","","","0.05","0.01","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","9","","","","-","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","10","","","","-","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","11","","68","70","69","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","12","","25","35","27","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","13","","Nil","","-","Elias","7/29/2021 11:08:20 AM"
"B/No856","S.7","S.7","14","","Positive","","Positive","Elias","7/29/2021 11:08:20 AM"
"B/No857","S.7","S.7","8","","","0.05","0.01","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","9","","","","-","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","10","","","","-","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","11","","68","70","70","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","12","","25","35","29","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","13","","Nil","","-","Elias","7/29/2021 11:15:22 AM"
"B/No857","S.7","S.7","14","","Positive","","Positive","Elias","7/29/2021 11:15:22 AM"
"B/No858","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","7/29/2021 11:32:50 AM"
"B/No858","S.60166","S.60166","77","ASTM D6934","60","","58","Elias","7/29/2021 11:32:50 AM"
"B/No858","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","7/29/2021 11:32:50 AM"
"B/No858","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","7/29/2021 11:32:50 AM"
"B/No858","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","7/29/2021 11:32:50 AM"
"B/No859","S.6","S.6","2","","","0.05","0.03","Elias","7/30/2021 11:57:45 AM"
"B/No859","S.6","S.6","3","","","","-","Elias","7/30/2021 11:57:45 AM"
"B/No859","S.6","S.6","4","","57","60","60","Elias","7/30/2021 11:57:45 AM"
"B/No859","S.6","S.6","5","","6","9","7","Elias","7/30/2021 11:57:45 AM"
"B/No859","S.6","S.6","6","","Nil","","Nil","Elias","7/30/2021 11:57:45 AM"
"B/No859","S.6","S.6","7","","Positive","","Positive","Elias","7/30/2021 11:57:45 AM"
"B/No860","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","7/30/2021 2:16:52 PM"
"B/No860","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","7/30/2021 2:16:52 PM"
"B/No860","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","7/30/2021 2:16:52 PM"
"B/No860","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","7/30/2021 2:16:52 PM"
"B/No860","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","7/30/2021 2:16:52 PM"
"B/No865","S.6","S.6","2","","","0.05","0.03","Elias","8/3/2021 3:24:09 PM"
"B/No865","S.6","S.6","3","","","","-","Elias","8/3/2021 3:24:09 PM"
"B/No865","S.6","S.6","4","","57","60","60.44","Elias","8/3/2021 3:24:09 PM"
"B/No865","S.6","S.6","5","","6","9","7","Elias","8/3/2021 3:24:09 PM"
"B/No865","S.6","S.6","6","","Nil","","Nil","Elias","8/3/2021 3:24:09 PM"
"B/No865","S.6","S.6","7","","Positive","","Positive","Elias","8/3/2021 3:24:09 PM"
"B/No866","S.7","S.7","8","","","0.05","0.01","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","9","","","","-","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","10","","","","-","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","11","","68","70","68","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","12","","25","35","27","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","13","","Nil","","-","Elias","8/3/2021 3:34:23 PM"
"B/No866","S.7","S.7","14","","Positive","","Positive","Elias","8/3/2021 3:34:23 PM"
"B/No867","S.6","S.6","2","","","0.05","0.03","Elias","8/5/2021 10:01:04 AM"
"B/No867","S.6","S.6","3","","","","-","Elias","8/5/2021 10:01:04 AM"
"B/No867","S.6","S.6","4","","57","60","64","Elias","8/5/2021 10:01:04 AM"
"B/No867","S.6","S.6","5","","6","9","8","Elias","8/5/2021 10:01:04 AM"
"B/No867","S.6","S.6","6","","Nil","","Nil","Elias","8/5/2021 10:01:04 AM"
"B/No867","S.6","S.6","7","","Positive","","Positive","Elias","8/5/2021 10:01:04 AM"
"B/No868","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","8/9/2021 2:21:10 PM"
"B/No868","S.103","S.103","82","ASTM D6934","56","","56","Elias","8/9/2021 2:21:10 PM"
"B/No868","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","8/9/2021 2:21:10 PM"
"B/No868","S.103","S.103","84","ASTM D6999","","","-","Elias","8/9/2021 2:21:10 PM"
"B/No868","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","8/9/2021 2:21:10 PM"
"B/No869","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","8/10/2021 10:57:53 AM"
"B/No869","S.103","S.103","82","ASTM D6934","56","","60","Elias","8/10/2021 10:57:53 AM"
"B/No869","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","8/10/2021 10:57:53 AM"
"B/No869","S.103","S.103","84","ASTM D6999","","","-","Elias","8/10/2021 10:57:53 AM"
"B/No869","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","8/10/2021 10:57:53 AM"
"B/No870","S.99","S.99","69","","","0.05","0.05","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","70","","","","-","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","71","","","","-","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","72","","56","","62.5","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","73","","","8","7","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","74","","Nil","60","-","Elias","8/10/2021 2:54:18 PM"
"B/No870","S.99","S.99","75","","Negative","","Negatiive","Elias","8/10/2021 2:54:18 PM"
"B/No871","S.95","S.95","91","ASTM D1298","0.9","1.1","1.10","Elias","8/10/2021 2:57:28 PM"
"B/No871","S.95","S.95","92","ASTM D2172","57","","-","Elias","8/10/2021 2:57:28 PM"
"B/No871","S.95","S.95","93","ASTM D92","38","","42","Elias","8/10/2021 2:57:28 PM"
"B/No872","S.7","S.7","8","","","0.05","0.01","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","9","","","","-","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","10","","","","-","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","11","","68","70","68","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","12","","25","35","28","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","13","","Nil","","-","Elias","8/10/2021 3:40:28 PM"
"B/No872","S.7","S.7","14","","Positive","","Positive","Elias","8/10/2021 3:40:28 PM"
"B/No873","S.6","S.6","2","","","0.05","0.03","Elias","8/11/2021 1:09:58 PM"
"B/No873","S.6","S.6","3","","","","-","Elias","8/11/2021 1:09:58 PM"
"B/No873","S.6","S.6","4","","57","60","58","Elias","8/11/2021 1:09:58 PM"
"B/No873","S.6","S.6","5","","6","9","6","Elias","8/11/2021 1:09:58 PM"
"B/No873","S.6","S.6","6","","Nil","","Nil","Elias","8/11/2021 1:09:58 PM"
"B/No873","S.6","S.6","7","","Positive","","Positive","Elias","8/11/2021 1:09:58 PM"
"B/No874","S.7","S.7","8","","","0.05","0.01","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","9","","","","-","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","10","","","","-","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","11","","68","70","69","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","12","","25","35","28","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","13","","Nil","","-","Elias","8/11/2021 1:15:25 PM"
"B/No874","S.7","S.7","14","","Positive","","Positive","Elias","8/11/2021 1:15:25 PM"
"B/No875","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","8/12/2021 12:52:15 PM"
"B/No875","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","8/12/2021 12:52:15 PM"
"B/No875","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","8/12/2021 12:52:15 PM"
"B/No875","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","8/12/2021 12:52:15 PM"
"B/No875","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","8/12/2021 12:52:15 PM"
"B/No876","S.7","S.7","8","","","0.05","0.01","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","9","","","","-","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","10","","","","-","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","11","","68","70","68.6","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","12","","25","35","28","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","13","","Nil","","-","Elias","8/13/2021 10:00:52 AM"
"B/No876","S.7","S.7","14","","Positive","","Positive","Elias","8/13/2021 10:00:52 AM"
"B/No877","S.7","S.7","8","","","0.05","0.01","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","9","","","","-","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","10","","","","-","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","11","","68","70","68","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","12","","25","35","28","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","13","","Nil","","-","Elias","8/13/2021 11:12:21 AM"
"B/No877","S.7","S.7","14","","Positive","","Positive","Elias","8/13/2021 11:12:21 AM"
"B/No878","S.6","S.6","2","","","0.05","0.03","Elias","8/13/2021 11:17:54 AM"
"B/No878","S.6","S.6","3","","","","-","Elias","8/13/2021 11:17:54 AM"
"B/No878","S.6","S.6","4","","57","60","63","Elias","8/13/2021 11:17:54 AM"
"B/No878","S.6","S.6","5","","6","9","7","Elias","8/13/2021 11:17:54 AM"
"B/No878","S.6","S.6","6","","Nil","","Nil","Elias","8/13/2021 11:17:54 AM"
"B/No878","S.6","S.6","7","","Positive","","Positive","Elias","8/13/2021 11:17:54 AM"
"B/No879","S.103","S.103","81","ASTM D6933","8","","Too Thick","Elias","8/17/2021 9:03:33 AM"
"B/No879","S.103","S.103","82","ASTM D6934","56","","58","Elias","8/17/2021 9:03:33 AM"
"B/No879","S.103","S.103","83","ASTM D244","Neutral ","","Neutral","Elias","8/17/2021 9:03:33 AM"
"B/No879","S.103","S.103","84","ASTM D6999","","","-","Elias","8/17/2021 9:03:33 AM"
"B/No879","S.103","S.103","85","ASTM D70","0.9","1.1","1.03","Elias","8/17/2021 9:03:33 AM"
"B/No880","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","8/17/2021 9:06:47 AM"
"B/No880","S.60166","S.60166","77","ASTM D6934","60","","59","Elias","8/17/2021 9:06:47 AM"
"B/No880","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","8/17/2021 9:06:47 AM"
"B/No880","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","8/17/2021 9:06:47 AM"
"B/No880","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","8/17/2021 9:06:47 AM"
"B/No881","S.60166","S.60166","76","ASTM D6933","8","","Too Thick","Elias","8/17/2021 5:19:31 PM"
"B/No881","S.60166","S.60166","77","ASTM D6934","60","","60","Elias","8/17/2021 5:19:31 PM"
"B/No881","S.60166","S.60166","78","ASTM D244","Neutral ","Negative","Neutral","Elias","8/17/2021 5:19:31 PM"
"B/No881","S.60166","S.60166","79","ASTM D6999","-","-","-","Elias","8/17/2021 5:19:31 PM"
"B/No881","S.60166","S.60166","80","ASTM D70","0.9","1.1","1.06","Elias","8/17/2021 5:19:31 PM"
"B/No883","S.6","S.6","2","","","0.05","0.03","Elias","8/19/2021 10:05:46 AM"
"B/No883","S.6","S.6","3","","","","-","Elias","8/19/2021 10:05:46 AM"
"B/No883","S.6","S.6","4","","57","60","59","Elias","8/19/2021 10:05:46 AM"
"B/No883","S.6","S.6","5","","6","9","7","Elias","8/19/2021 10:05:46 AM"
"B/No883","S.6","S.6","6","","Nil","","Nil","Elias","8/19/2021 10:05:46 AM"
"B/No883","S.6","S.6","7","","Positive","","Positive","Elias","8/19/2021 10:05:46 AM"
"B/No884","S.99","S.99","69","","","0.05","0.05","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","70","","","","-","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","71","","","","-","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","72","","56","","59.7","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","73","","","8","7","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","74","","Nil","60","-","Elias","8/19/2021 10:10:14 AM"
"B/No884","S.99","S.99","75","","Negative","","Negatiive","Elias","8/19/2021 10:10:14 AM"
"B/No887","S.6","S.6","2","","","0.05","0.03","Elias","8/24/2021 5:44:38 PM"
"B/No887","S.6","S.6","3","","","","-","Elias","8/24/2021 5:44:38 PM"
"B/No887","S.6","S.6","4","","57","60","60","Elias","8/24/2021 5:44:38 PM"
"B/No887","S.6","S.6","5","","6","9","7","Elias","8/24/2021 5:44:38 PM"
"B/No887","S.6","S.6","6","","Nil","","Nil","Elias","8/24/2021 5:44:38 PM"
"B/No887","S.6","S.6","7","","Positive","","Positive","Elias","8/24/2021 5:44:38 PM"
"B/No888","S.7","S.7","8","","","0.05","0.01","Elias","8/25/2021 2:53:23 PM"
"B/No888","S.7","S.7","9","","","","-","Elias","8/25/2021 2:53:23 PM"
